Index,Day code,Daily slot,Conflicts with
0,ST,08:00-09:30,"12,19"
1,ST,09:40-11:10,"13,20"
2,ST,11:20-12:50,"14,21"
3,ST,13:40-15:10,"15,22"
4,ST,15:20-16:50,"16,23"
5,ST,17:00-18:30,"17,24"
6,MW,08:00-09:30,"26,35"
7,MW,09:40-11:10,"27,34"
8,MW,11:20-12:50,"28,35"
9,MW,13:40-15:10,"29,36"
10,MW,15:20-16:50,"30,37"
11,MW,17:00-18:30,"31,38"
12,S,08:00-09:30,0
13,S,09:40-11:10,1
14,S,11:20-12:50,2
15,S,13:40-15:10,3
16,S,15:20-16:50,4
17,S,17:00-18:30,5
18,S,18:30-21:30,-
19,T,08:00-09:30,0
20,T,09:40-11:10,1
21,T,11:20-12:50,2
22,T,13:40-15:10,3
23,T,15:20-16:50,4
24,T,17:00-18:30,5
25,T,18:30-21:30,-
26,M,08:00-09:30,6
27,M,09:40-11:10,7
28,M,11:20-12:50,8
29,M,13:40-15:10,9
30,M,15:20-16:50,10
31,M,17:00-18:30,11
32,M,18:30-21:30,-
33,W,08:00-09:30,6
34,W,09:40-11:10,7
35,W,11:20-12:50,8
36,W,13:40-15:10,9
37,W,15:20-16:50,10
38,W,17:00-18:30,11
39,W,18:30-21:30,-
40,R,08:00-09:30,-
41,R,09:40-11:10,-
42,R,11:20-12:50,-
43,R,13:40-15:10,-
44,R,15:20-16:50,-
45,R,17:00-18:30,-
46,R,18:30-21:30,-
